Brand,Body,Mileage,EngineV,Engine Type,Registration,log_price
Toyota,crossover,0,2.0,Petrol,yes,10.467046698064145
BMW,sedan,313,2.5,Diesel,yes,8.160518247477505
Mercedes-Benz,other,260,2.7,Diesel,yes,9.457200449907708
Volkswagen,sedan,85,2.0,Diesel,yes,10.203592144986466
Volkswagen,sedan,143,2.0,Diesel,yes,9.602382459752207
Renault,other,155,1.6,Petrol,no,7.696212639346407
Volkswagen,van,433,2.4,Diesel,no,7.9724660159745655
Audi,sedan,200,6.0,Petrol,yes,9.392661928770137
Volkswagen,crossover,180,3.0,Diesel,yes,10.621327345686446
Audi,vagon,180,3.2,Petrol,yes,9.698920386794853
Renault,van,145,1.5,Other,yes,8.575462099540212
Mercedes-Benz,sedan,39,2.2,Diesel,yes,10.60905725309463
Mercedes-Benz,van,300,2.2,Diesel,no,8.366370301681654
Volkswagen,crossover,137,2.5,Diesel,no,8.294049640102028
Volkswagen,hatch,132,1.6,Petrol,yes,9.169518377455928
Mitsubishi,crossover,112,3.0,Gas,yes,9.798127036878302
Renault,vagon,184,1.5,Diesel,yes,9.332558004700433
Volkswagen,hatch,131,1.4,Petrol,yes,8.51699317141357
Mercedes-Benz,sedan,112,2.2,Diesel,yes,10.126591103050316
Toyota,crossover,93,2.7,Other,yes,10.056208639553791
Toyota,crossover,124,4.0,Petrol,yes,9.60911649193355
Audi,sedan,184,2.7,Diesel,yes,10.034515814942532
Mercedes-Benz,sedan,137,3.0,Diesel,yes,10.477287975463508
Volkswagen,other,280,2.8,Diesel,yes,9.615805480084347
Toyota,sedan,132,1.6,Petrol,yes,9.065314599925925
Mitsubishi,crossover,96,2.5,Diesel,yes,10.01681623784313
Mitsubishi,sedan,123,2.0,Petrol,yes,9.249561085129464
Audi,vagon,198,4.2,Gas,yes,9.259130536145614
Renault,crossover,68,1.5,Diesel,yes,9.38429367909962
BMW,sedan,17,2.0,Petrol,yes,10.515966830028619
BMW,crossover,170,3.0,Diesel,yes,10.106428396532818
Volkswagen,van,400,2.4,Diesel,yes,8.45531778769815
Toyota,hatch,30,1.6,Petrol,yes,9.803667217253917
Mercedes-Benz,sedan,47,4.6,Petrol,yes,11.652687407345388
Mercedes-Benz,sedan,217,3.2,Diesel,yes,9.296518068217235
BMW,sedan,280,3.0,Petrol,yes,8.85366542803745
Volkswagen,vagon,161,2.0,Diesel,yes,9.21024036697585
Mitsubishi,other,160,2.5,Diesel,yes,9.417354541360508
Volkswagen,crossover,0,3.0,Diesel,yes,11.121696786287314
Volkswagen,other,45,2.0,Diesel,yes,9.846917201047734
Volkswagen,sedan,248,1.8,Petrol,yes,8.85352256068954
Mercedes-Benz,sedan,261,1.8,Petrol,yes,9.235032984566555
Toyota,sedan,286,1.6,Petrol,yes,8.160518247477505
BMW,crossover,250,3.0,Diesel,no,9.51044496442652
BMW,sedan,328,2.5,Diesel,no,7.803843303538772
Volkswagen,van,180,2.5,Diesel,yes,8.922658299524402
Volkswagen,vagon,263,2.0,Diesel,no,8.496990484098719
Mercedes-Benz,vagon,248,2.0,Gas,yes,8.517193191416238
BMW,crossover,235,3.0,Diesel,yes,10.305613759378778
Renault,sedan,110,1.4,Petrol,yes,8.85366542803745
Mitsubishi,sedan,1,1.5,Gas,yes,9.375854810453756
Mercedes-Benz,van,223,2.2,Diesel,yes,9.711115659888671
BMW,sedan,147,2.2,Gas,no,8.575462099540212
Mercedes-Benz,van,200,2.2,Diesel,yes,8.881836305004146
Volkswagen,van,230,1.9,Diesel,yes,9.047821442478408
BMW,crossover,180,3.0,Diesel,yes,10.571316925111784
Volkswagen,vagon,270,1.9,Diesel,yes,7.52294091807237
Audi,sedan,75,3.0,Diesel,yes,10.494048144320972
Mitsubishi,hatch,330,2.0,Gas,yes,8.054919608232412
Renault,van,159,1.5,Diesel,yes,8.66561319653451
BMW,sedan,370,2.0,Petrol,yes,8.809862805379057
Renault,crossover,0,1.5,Diesel,yes,9.851569326077096
Volkswagen,van,0,1.6,Diesel,yes,10.263257701382162
BMW,sedan,210,2.0,Other,no,8.00603417874901
BMW,crossover,1,2.0,Diesel,yes,11.074420502783864
Toyota,crossover,135,2.0,Gas,yes,9.975808214115753
BMW,sedan,10,3.0,Diesel,yes,11.35691472296607
Volkswagen,van,108,1.6,Diesel,yes,9.065314599925925
BMW,sedan,1,3.0,Diesel,yes,9.268609280100158
Toyota,hatch,109,1.3,Gas,yes,8.83927669058535
Mercedes-Benz,other,248,2.0,Petrol,no,7.9724660159745655
Mercedes-Benz,other,185,2.2,Diesel,yes,9.413281215972873
BMW,crossover,101,2.5,Gas,yes,9.98506753952855
Mercedes-Benz,sedan,320,2.2,Diesel,no,7.600902459542082
Audi,vagon,284,2.5,Diesel,yes,9.20029003612268
Mercedes-Benz,van,240,2.2,Diesel,yes,8.674196940225903
Toyota,vagon,204,1.4,Diesel,yes,9.011889433252344
Renault,vagon,200,1.5,Diesel,yes,8.895629627136483
Mitsubishi,sedan,145,2.0,Gas,yes,8.987196820661973
